original,canonical
hot tea (garam chai),kashmiri tea (kehwa)
kashmiri tea (kehwa),kashmiri tea (kehwa)
instant coffee,coffee drops
steeped hot coffee,coffee drops
coffee drops,coffee drops
espreso coffee,espreso coffee
iced tea,iced tea
raw mango drink (aam panna),raw mango drink (aam panna)
fruit punch (with fresh juices),fruit punch (with squashes)
fruit punch (with squashes),fruit punch (with squashes)
lemonade,lemonade
lemon tart,lemonade
lemon cookies,lemonade
lem-o-gin,lem-o-gin
cumin infused water (jeere/zeere ka pani),cumin infused water (jeere/zeere ka pani)
coco pine cooler,coco pine cooler
summer cooler,summer cooler
hot cocoa,hot cocoa
cold coffee with ice cream,cold coffee (with cream)
cold coffee (with cream),cold coffee (with cream)
banana milkshake (kele milkshake),flavoured milkshake
mango milkshake (aam milkshake),flavoured milkshake
pineapple milkshake (ananas milkshake),flavoured milkshake
orange milkshake (narangi milkshake),flavoured milkshake
banana milkshake with ice cream (kele ka milkshake ice cream ke saath),flavoured milkshake
flavoured milkshake,flavoured milkshake
mango milkshake with ice cream (aam milkshake ice cream ke saath),flavoured milkshake
pineapple milkshake with ice cream (ananas milkshake ice cream ke saath),flavoured milkshake
orange milkshake with ice cream (narangi milkshake ice cream ke saath),flavoured milkshake
egg nog,egg nog
fried egg ,egg nog
poached egg,egg nog
baked egg ,baked egg
egg sauce,egg sauce
sweet lassi (meethi lassi),lassi (salted)
lassi (salted),lassi (salted)
cheese and chilli sandwich ,club sandwich 
chilli chicken,chilli chicken
green chilli sauce,green chilli sauce
egg sandwich (ande ka sandwich),peanut butter cucumber sandwich
cucumber sandwich (kheere ka sandwich),peanut butter cucumber sandwich
cheese and pineapple sandwich (cheese aur ananas ka sandwich),peanut butter cucumber sandwich
cheese and tomato sandwich (cheese aur tamatar ke sandwich),peanut butter cucumber sandwich
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),peanut butter cucumber sandwich
carrot apple sandwich (gajar aur seb ka sandwich),peanut butter cucumber sandwich
egg and tomato sandwich (ande aur tamatar ka sandwich),peanut butter cucumber sandwich
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),peanut butter cucumber sandwich
pea potato sandwich (toasted) (matar aloo ka sandwich),peanut butter cucumber sandwich
paneer pea sandwich (toasted) (paneer matar ka sandwich),peanut butter cucumber sandwich
pea keema sandwich (toasted) (matar aur keema ka sandwich),peanut butter cucumber sandwich
tomato and cucumber sandwich (tamatar aur kheere ka sandwich),peanut butter cucumber sandwich
peanut butter cucumber sandwich,peanut butter cucumber sandwich
chicken walnut sandwich (chicken aur akhrot ke sandwich),peanut butter cucumber sandwich
chicken sandwich,club sandwich 
club sandwich ,club sandwich 
vegetarian club sandwich,club sandwich 
salami sandwich,club sandwich 
chicken sandwich (toasted),club sandwich 
classic club sandwich,club sandwich 
tomato sandwich (grilled),club sandwich 
submarine sandwich,club sandwich 
fish sandwich ,club sandwich 
rainbow sandwich,rainbow sandwich
watercress sandwich,rainbow sandwich
pin wheel sandwich,pin wheel biscuit
pin wheel biscuit,pin wheel biscuit
vegetable and mayonnaise sandwich,mayonnaise
mayonnaise without eggs,mayonnaise
mayonnaise vegetable dip,mayonnaise
mayonnaise,mayonnaise
sweet open sandwich,sweet open sandwich
cheese open sandwich,sweet open sandwich
sunset and sunrise open sandwich,sweet open sandwich
chicken and corn open sandwich,sweet open sandwich
mushroom and cheese sandwich (toasted),cheese toast
cheese toast,cheese toast
french sandwich (toasted),cheese toast
sesame toast,sesame toast
sesame ladoo (til ke ladoo),sesame ladoo (til ke ladoo)
cracked wheat porridge (meetha daliya),semolina porridge (suji/rava daliya)
semolina porridge (suji/rava daliya),semolina porridge (suji/rava daliya)
vermicelli porridge (semiya/seviyan porridge),semolina porridge (suji/rava daliya)
lentils and semolina porridge (dal suji porridge/daliya),semolina porridge (suji/rava daliya)
lentils and wheat porridge (dal wheat porridge/daliya ),semolina porridge (suji/rava daliya)
sweet wheat porridge (sweet dalia),semolina porridge (suji/rava daliya)
oatmeal porridge,maize porridge
maize porridge,maize porridge
cornflakes with milk,cornflakes with milk
rice flakes (chiwda/aval),rice flakes (chiwda/aval)
rice flakes and roasted channa ,rice flakes (chiwda/aval)
wheat flakes,wheat flakes
snow flakes pudding,wheat flakes
murmura (puffed rice),murmura (puffed rice)
puffed wheat (murmure/moori),murmura (puffed rice)
boiled egg (ubla anda),boiled egg (ubla anda)
scrambled egg (ande ki bhurji),scrambled egg (ande ki bhurji)
indian style egg bhujia (anda bhujia (indian style)),scrambled egg (ande ki bhurji)
plain omelette/omlet,corn omelette/omlet
stuffed egg omelette/omlet,scrambled egg (ande ki bhurji)
french omelette/omlet,corn omelette/omlet
puffy omelette/omlet,corn omelette/omlet
orange omelette/omlet,corn omelette/omlet
cheese and mushroom omelette/omlet,corn omelette/omlet
spanish omelette/omlet,corn omelette/omlet
corn omelette/omlet,corn omelette/omlet
pancake,pancake
keema pancake,pancake
vegetable pancake,pancake
jam and fruit pancake,pancake
bacon and mushroom pancake,pancake
cheese and tomato pancake,pancake
khoa and coconut pancake,buckwheat pancake (khura)
buckwheat pancake (khura),buckwheat pancake (khura)
brown stock,meat stock
vegetable stock,meat stock
chicken stock,meat stock
mixed stock,meat stock
meat stock,meat stock
white stock,meat stock
clear tomato soup (tamatar ka soup),clear tomato soup (tamatar ka soup)
lentil soup,lentil soup
chicken consomme (clear chicken soup),chicken consomme (clear chicken soup)
cream of tomato soup,whey soup
cream of green peas soup,whey soup
cream of mixed vegetable soup,whey soup
cream of mushroom soup,whey soup
chicken sweet corn soup,whey soup
minestrone soup,whey soup
french onion soup,whey soup
cold summer garden soup,whey soup
green pea soup (matar ka soup),whey soup
mixed vegetable soup,whey soup
cheese soup,whey soup
cream of carrot soup,whey soup
cream of broccoli soup,whey soup
cream of potato soup,whey soup
cold tomato soup,whey soup
ham and bean soup,whey soup
whey soup,whey soup
baked potato soup,whey soup
pumpkin soup,whey soup
sweet corn soup,whey soup
millet soup,whey soup
garlic soup,whey soup
vegetable soup,whey soup
cream of spinach soup,cream of spinach soup
spinach soup (palak ka soup),cream of spinach soup
almond soup (badam ka soup),cream of spinach soup
garlic chickpea soup (lahasun aur chane ka shoraba),cream of spinach soup
spinach soup in milk ,cream of spinach soup
egg drop soup,egg drop soup
chinese cabbage and meat ball soup,curried cauliflower soup
curried cauliflower soup,curried cauliflower soup
hot and sour soup,hot and sour soup
talaumein soup,talaumein soup
mulligatawny soup,talaumein soup
cold cucumber soup (thanda kheere ka soup),lemon coriander soup
cold cucumber cream soup ,lemon coriander soup
lemon coriander soup,lemon coriander soup
chapati/roti,chapati/roti
plain parantha/paratha,dal parantha/paratha
potato parantha/paratha (aloo ka parantha/paratha),dal parantha/paratha
radish parantha/paratha (mooli ka parantha/paratha),dal parantha/paratha
dal parantha/paratha,dal parantha/paratha
pea parantha/paratha (matar ka parantha/paratha),dal parantha/paratha
keema parantha/paratha,dal parantha/paratha
besan and spinach parantha/paratha (besan aur palak ka parantha/paratha),dal parantha/paratha
tandoori parantha/paratha,dal parantha/paratha
methi parantha/paratha,dal parantha/paratha
cauliflower parantha/paratha (phoolgobhi ka parantha/paratha),cauliflower basket
potato cauliflower (aloo gobhi),cauliflower basket
cauliflower with coconut (nariyal ke saath phoolgobhi),cauliflower basket
cauliflower kofta curry (phoolgobhi kofta curry),cauliflower kofta curry (phoolgobhi kofta curry)
cauliflower musallam (phoolgobhi musallam),cauliflower basket
cauliflower kheer (phoolgobhi ki kheer),cauliflower kheer (phoolgobhi ki kheer)
cauliflower pakora/pakoda (phoolgobhi ke pakode),cauliflower basket
"cauliflower, pea and potato bhujia (phoolgobhi, matar aur aloo bhujia)",cauliflower basket
cauliflower basket,cauliflower basket
cauliflower au gratin,cauliflower basket
sprouted moong parantha/paratha,sprouted moong pulao
sprouted moong pulao,sprouted moong pulao
sprouted moong dal chat,sprouted moong pulao
sprouted moong salad ,sprouted moong pulao
sprouted moong raita ,sprouted moong pulao
sprouted moong daliya ,sprouted moong pulao
sprouted moong poha ,sprouted moong pulao
paneer parantha/paratha,paneer soup
paneer pulao,paneer soup
paneer kaathi roll,paneer soup
pea paneer curry (matar paneer),pea paneer curry (matar paneer)
paneer curry,paneer curry
paneer kofta curry,paneer kofta curry
shahi paneer,paneer soup
paneer in butter sauce,paneer soup
methi malai paneer,paneer soup
chilli paneer,paneer soup
paneer makhana korma,paneer soup
kadhai paneer,paneer soup
paneer kheer,paneer kheer
paneer and pea samosa (paneer matar ka samosa),paneer soup
paneer potato cutlet (paneer aloo cutlet),paneer soup
paneer shaslik/tikka,paneer soup
paneer stuffed cheela/chilla,paneer soup
paneer cutlet,paneer soup
paneer lababdar,paneer soup
paneer soup,paneer soup
poori,poori
methi poori,poori
potato stuffed poori (aloo ki poori),poori
sweet poori (meethi poori),poori
beetroot poori (chukandar ki poori),poori
peas poori (matar ki poori),poori
spinach poori (palak poori),spinach poori (palak poori)
spinach chickpeas cutlet (palak channa dal cutlet),spinach poori (palak poori)
spinach peanut namak paras (palak moongfali namak paras),spinach poori (palak poori)
spinach and potato (palak aloo),spinach poori (palak poori)
dal stuffed poori,mixed dal
mixed dal,mixed dal
boiled rice (uble chawal),boiled rice (uble chawal)
"lemon rice (pulihora, elumichai sadam, chitranna)",spanish rice
sweet rice (meethe chawal),spanish rice
curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam),curd rice (dahi bhaat/dahi chawal/ perugu annam/daddojanam/thayir saadam)
tamarind rice (chintapandu pulihora/puliyodharai/puli sadam/huli anna),spanish rice
spanish rice,spanish rice
chinese fried rice,spanish rice
rice kheer (chawal ki kheer),rice kheer (chawal ki kheer)
mexican rice,spanish rice
rice dal porridge (chawal dal ki khichdi/khichri),spanish rice
black rice kheer (chak-hao kheer),makhana kheer
rice murukku,spanish rice
plain pulao,plain pulao
mixed vegetable pulao,plain pulao
mushroom pulao,plain pulao
peanut pulao ,plain pulao
chicken pulao,chicken pulao
navratan pulao,navratan pulao
cumin pulao (jeera/zeera pulao),navratan pulao
green chickpeas pulao (choliya pulao/hare chane ka pulao),green chickpeas pulao (choliya pulao/hare chane ka pulao)
sweet split chickpea roti (sweet channa dal roti/puranpoli),green chickpeas pulao (choliya pulao/hare chane ka pulao)
mutton biryani/biriyani,mutton biryani/biriyani
vegetable biryani/biriyani,vegetable biryani/biriyani
macroni cheese pie,macroni cheese pie
cottage cheese pie,macroni cheese pie
vegetable and cheese pie,macroni cheese pie
vegetable chowmein,chicken chowmein
chicken chowmein,chicken chowmein
cheese noodle ring,cheese noodle ring
spaghetti and cheese balls in tomato sauce,spaghetti and cheese balls in tomato sauce
spaghetti with meat balls and tomato sauce,spaghetti and cheese balls in tomato sauce
spaghetti with paneer balls and tomato sauce,spaghetti and cheese balls in tomato sauce
penne platter,penne platter
pasta hot pot,pasta hot pot
classic italian pasta,pasta hot pot
chicken lasagne,chicken lasagne
lasagne with meat sauce,chicken lasagne
lasagne with vegetables,chicken lasagne
fettuccine with spinach sauce,pasta spinach sauce
pasta spinach sauce,pasta spinach sauce
naan,naan
bhatura,bhatura
bhel puri ,murmura (puffed rice)
idli,idli
instant idli (with semolina),idli
masala dosa,plain dosa
plain dosa,plain dosa
jowar dosa,plain dosa
semolina dosa (suji/rava dosa),semolina dosa (suji/rava dosa)
semolina kheer (suji/rava kheer),semolina kheer (suji/rava kheer)
semolina halwa (suji ka halwa),semolina halwa (suji ka halwa)
semolina ladoo with khoya (suji/rava aur khoye ke ladoo ),khoa ladoo
semolina ladoo with coconut (suji/rava aur nariyal ke ladoo ),khoa ladoo
semolina burfi (suji/rava burfi),semolina burfi (suji/rava burfi)
semolina ladoo with nuts (suji/rava ladoo with nuts),khoa ladoo
semolina idli (suji/rava idli),semolina dosa (suji/rava dosa)
semolina dhokla (suji/rava dhokla),semolina dosa (suji/rava dosa)
onion tomato uttapam,uttapam
uttapam,uttapam
makki ki roti,makki ki roti
maa chaane ki dal,makki ki roti
washed moong dal (dhuli moong ki dal),washed urad dal (dhuli urad ki dal)
washed urad dal (dhuli urad ki dal),washed urad dal (dhuli urad ki dal)
split bengal gram with bottle gourd (channa dal with ghiya/lauki),split bengal gram dal (channa dal)
split bengal gram sweet rice (channa dal sweet rice),split bengal gram dal (channa dal)
split bengal gram dal and vegetable pulao (channa dal and vegetable pulao),split bengal gram dal (channa dal)
split bengal gram burfi/fudge (channa dal burfi),split bengal gram burfi/fudge (channa dal burfi)
split bengal gram dal (channa dal),split bengal gram dal (channa dal)
dry washed urad,dry washed urad
whole urad (urad ki dal),dry washed urad
urad special dehusked,dry washed urad
urad sabut special,dry washed urad
whole moong (moong ki dal),dal moong
moong dal kheer,moong dal kheer
moong dal halwa,moong dal halwa
rice moong dal cheela (chawal aur moong dal ka cheela),semolina dosa (suji/rava dosa)
moong dal stuffed cheela/chilla (moong dal ka cheela/chilla),dal moong
moong dal with vadi,dal moong
moong dal mixture,dal moong
dal moong,dal moong
whole masoor (masoor ki dal),whole masoor (masoor ki dal)
whole moth (moth ki dal),whole moth (moth ki dal)
moti mahal dal (urad rajmah mix dal),moti mahal dal (urad rajmah mix dal)
black channa curry/bengal gram curry (kale chane ki curry),black channa curry/bengal gram curry (kale chane ki curry)
black channa pulao/ bengal gram pulao (kale chane ka pulao),black channa curry/bengal gram curry (kale chane ki curry)
chickpeas curry (safed channa curry),kabuli channa curry
egg curry (anda curry),egg curry (anda curry)
lobia curry,lobia curry
soyabean curry,soyabean curry
soyabean muthias,soya roti
soyabean tikki,soya roti
soyabean namak paras,soya roti
soya roti,soya roti
kidney bean curry (rajmah curry),kidney bean curry (rajmah curry)
sambar,sambar
sambar powder (sambar masala),sambar
besan kadhi with pakodies,besan kadhi with pakodies
khatta channa,khatta channa
khasta kachori,khatta channa
potato capsicum (shimla mirch aloo),potato capsicum (shimla mirch aloo)
stuffed capsicum (bharwa shimla mirch),potato capsicum (shimla mirch aloo)
cabbage and peas (pattagobhi aur matar),cabbage raita (pattagobhi raita)
cabbage kofta curry (pattagobhi kofta curry),cabbage kofta curry (pattagobhi kofta curry)
cabbage kheer (pattagobhi ki kheer),carrot kheer (gajar ki kheer)
cabbage rolls (dry) ((pattagobhi rolls) (dry)),cabbage raita (pattagobhi raita)
cabbage rolls (curry) ((pattagobhi rolls)(curry)),vegetable curry with coconut 
cabbage raita (pattagobhi raita),cabbage raita (pattagobhi raita)
carrot and fenugreek leaves (gajar methi),carrot and fenugreek leaves (gajar methi)
potato fenugreek (aloo methi),ducheese potato
dry potato (sookhe aloo),ducheese potato
pea potato curry (aloo matar),pea potato curry (aloo matar)
potato bonda (aloo bonda),ducheese potato
potato curry (aloo ki sabzi),potato curry (aloo ki sabzi)
ducheese potato,ducheese potato
brinjal bhartha (baingan ka bhartha),stuffed brinjal (bharwa baingan)
stuffed brinjal (bharwa baingan),stuffed brinjal (bharwa baingan)
peas brinjal bhartha (matar baingan bhartha),stuffed brinjal (bharwa baingan)
beans with coconut (nariyal aur sem/phali; beans thoran),vegetable curry with coconut 
carrot and cabbage with coconut (nariyal ke saath pattagobhi aur gajar),vegetable curry with coconut 
vegetable curry with coconut ,vegetable curry with coconut 
raw turnip with coconut ,raw turnip with coconut 
raw papaya with coconut (papaya thoran),raw papaya with coconut (papaya thoran)
stuffed okra (bharwa bhindi),stuffed okra (bharwa bhindi)
stuffed round gourd (bharwa tinde),stuffed okra (bharwa bhindi)
stuffed tomatoes (bharwa tamatar),stuffed okra (bharwa bhindi)
pea mushroom curry (matar mushroom),pea mushroom curry (matar mushroom)
mushroom matar,mushroom matar
fricassee of mushroom,mushroom matar
pea curry (matar ki sabzi),pea curry (matar ki sabzi)
pea keema curry (matar keema ki sabzi),pea keema curry (matar keema ki sabzi)
peas kachori (matar kachori),peas pulao (matar pulao)
peas pulao (matar pulao),peas pulao (matar pulao)
pea vadi curry,pea vadi curry
lotus stem curry (kamal kakdi curry),lotus stem curry (kamal kakdi curry)
lotus stem kofta curry (kamal kakdi kofta curry),lotus stem curry (kamal kakdi curry)
lotus seed halwa (kamal gattay ka halwa),lotus seed halwa (kamal gattay ka halwa)
lotus stem pickle (kamal kakdi ka achar),mango pickle (aam ka achaar)
gravy for kofta,gravy for kofta
pea kofta curry (matar kofta curry),pea kofta curry (matar kofta curry)
spinach kofta curry (palak kofta curry),pea kofta curry (matar kofta curry)
raw banana kofta curry (kela kofta curry),pea kofta curry (matar kofta curry)
spinach paneer kofta curry (palak paneer kofta curry),pea kofta curry (matar kofta curry)
potato kofta curry (aloo kofta curry),pea kofta curry (matar kofta curry)
yam kofta curry (zimikand/suran kofta curry),pea kofta curry (matar kofta curry)
ghiya/lauki kofta curry,ghiya/lauki kofta curry
vegetarian egg kofta curry,vegetarian egg kofta curry
indian lamb and egg curry (nargisi kofta),vegetarian egg kofta curry
vegetarian nargisi kofta curry,vegetarian egg kofta curry
baked vegetables,baked vegetables
baked vegetables with spinach ,baked vegetables
baked potato with skin ,baked potato with skin 
shepherd's pie (vegetarian),minced meat pie
shepherd's pie (with minced meat),minced meat pie
minced meat pie,minced meat pie
baked brinjal in tomato sauce,baked brinjal in tomato sauce
dum aloo,dum aloo
spinach paneer (palak paneer),spinach and paneer souffle 
"paneer, apple and pineapple salad",spinach and paneer souffle 
spinach and paneer souffle ,spinach and paneer souffle 
methi chaman,methi chaman
methi thepla,methi chaman
sarson ka saag,sarson ka saag
jackfruit sabzi (kathal ki sabzi),jackfruit/kathal (dry)
jackfruit kofta curry (kathal ka kofta curry),ghiya/lauki kofta curry
jackfruit/kathal (dry),jackfruit/kathal (dry)
jackfruit fritters (ponsa mulik/kathal ka pakora),jackfruit/kathal (dry)
avial,avial
al yakhani,al yakhani
makhana kheer,makhana kheer
dal makhani,dal makhani
roghan josh,roghan josh
spinach mutton (palak mutton),mutton pulao
mutton yakhni,mutton pulao
mutton do piaza,mutton pulao
mutton pulao,mutton pulao
mutton korma,mutton pulao
keema kofta curry,keema kofta curry
shahi keema kofta curry,keema kofta curry
kashmiri mutton koftas (gushtaba),kashmiri masala
kashmiri 'tahar',kashmiri masala
kashmiri masala,kashmiri masala
chicken yakhni,chicken yakhni
vegetable yakhni,chicken yakhni
mutton chops,mutton chops
dry masala chops,mutton chops
shammi kebab,boti kebab
boti kebab,boti kebab
scotch egg,scotch egg
vegeterian scotch egg,scotch egg
chicken stew,chicken stew
butter chicken,butter chicken
fried chicken with tomato sauce (fried chicken tamatar ki chutney kay saath),chicken curry
chicken stew,chicken stew
roast chicken,butter chicken
tomato chicken,chicken curry
creamy chicken,butter chicken
ginger chicken,butter chicken
chicken korma,butter chicken
lemon chicken,butter chicken
tandoori chicken,tandoori chicken
tandoori fish,tandoori fish
chicken kebab,chicken kebab
vegetable seekh kebab,chicken kebab
mutton seekh kebab,chicken kebab
soya seekh kebab,chicken kebab
fish curry (machli curry),fish curry (machli curry)
fried fish (indian style) (tali hui machli),fish curry (machli curry)
fried fish and chips (english style) (tali hui machli aur chips),fish curry (machli curry)
fish cutlet (machli ka cutlet),fish cutlet (machli ka cutlet)
bengal fish curry (bengali machli curry),fish curry (machli curry)
tomato fish,tomato fish
fish finger,tomato fish
baked fish with cheese sauce,crispy baked fish
baked stuffed fish,crispy baked fish
crispy baked fish,crispy baked fish
fish tikka,fish tikka
hariyali fish tikka,fish tikka
russian salad,pasta salad
pasta salad,pasta salad
tossed salad,pasta salad
tossed green salad,pasta salad
chicken salad,pasta salad
macaroni salad,pasta salad
deviled egg,deviled egg
hawain salad,hawain salad
waldroff salad,hawain salad
mixed pulse and vegetable salad,mixed pulse and vegetable salad
mixed vegetable salad with curd sauce,mixed pulse and vegetable salad
potato salad (aloo ka salaad),potato salad (aloo ka salaad)
fruit salad (phalon ka salaad),potato salad (aloo ka salaad)
fruit ice cream (phalon ka ice cream),potato salad (aloo ka salaad)
beetroot and egg salad (chukandar aur ande ka salad),potato salad (aloo ka salaad)
cucumber and yogurt salad (kheere aur dahi ka salad),potato salad (aloo ka salaad)
frozen frosty fruit salad (phalon ka salaad),potato salad (aloo ka salaad)
coleslaw,coleslaw
tomato onion raita (tamatar aur pyaaz ka raita),onion raita (pyaaz ka raita)
onion pakora/pakoda (pyaaz ke pakode),onion raita (pyaaz ka raita)
onion-green chilli parantha/paratha (pyaaz aur hari mirch ka parantha/paratha),onion raita (pyaaz ka raita)
masala onion pakora/pakoda (pyaaz ke pakode),onion raita (pyaaz ka raita)
onion raita (pyaaz ka raita),onion raita (pyaaz ka raita)
onion tomato baghar (pyaaz tamatar ka tadka),onion raita (pyaaz ka raita)
peanut raita (mungfali ka raita),peanut raita (mungfali ka raita)
peanut cutlet (mungfali ke cutlet),peanut raita (mungfali ka raita)
peanut chutney (mungfali ki chutney),peanut raita (mungfali ka raita)
bottle gourd raita (ghiya/lauki ka raita),bottle gourd raita (ghiya/lauki ka raita)
bottle gourd burfi (ghiya/lauki burfi),bottle gourd burfi (ghiya/lauki burfi)
stuffed bottle gourd (stuffed ghiya/lauki),bottle gourd soup (ghiya/lauki soup)
bottle gourd kheer (ghiya/lauki kheer),bottle gourd kheer (ghiya/lauki kheer)
bottle gourd soup (ghiya/lauki soup),bottle gourd soup (ghiya/lauki soup)
cucumber raita (kheere ka raita),cucumber raita (kheere ka raita)
cucumber sharbat (kheere ka sharbat),cucumber raita (kheere ka raita)
carrot and spinach raita (gajar aur palak ka raita),sweet raita (meetha raita)
potato raita (aloo ka raita),sweet raita (meetha raita)
sweet raita (meetha raita),sweet raita (meetha raita)
carrot raita (gajar ka raita),sweet raita (meetha raita)
spinach raita (palak ka raita),sweet raita (meetha raita)
pineapple raita (ananas ka raita),sweet raita (meetha raita)
banana raita (kele ka raita),sweet raita (meetha raita)
mango raita (aam ka raita),sweet raita (meetha raita)
guava raita (amarood ka raita),sweet raita (meetha raita)
